"Period","Derived_Total","Measure","Value"
1988-06-30,"HCE","Miscellaneous goods and services",852
1988-06-30,"HCE","Recreation and culture",900
1988-06-30,"HCE","Restaurants and hotels",603
1988-06-30,"HCE","Transport",1489
1988-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",550
1988-09-30,"HCE","Clothing and footwear",519
1988-09-30,"HCE","Communication",209
1988-09-30,"HCE","Food and nonalcoholic beverages",1349
1988-09-30,"HCE","Household contents and services",683
1988-09-30,"HCE","Housing and household utilities",2370
1988-09-30,"HCE","Miscellaneous goods and services",873
1988-09-30,"HCE","Recreation and culture",944
1988-09-30,"HCE","Restaurants and hotels",634
1988-09-30,"HCE","Transport",1594
1988-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",555
1988-12-31,"HCE","Clothing and footwear",515
1988-12-31,"HCE","Communication",195
1988-12-31,"HCE","Food and nonalcoholic beverages",1355
1988-12-31,"HCE","Household contents and services",684
1988-12-31,"HCE","Housing and household utilities",2441
1988-12-31,"HCE","Miscellaneous goods and services",878
1988-12-31,"HCE","Recreation and culture",956
1988-12-31,"HCE","Restaurants and hotels",630
1988-12-31,"HCE","Transport",1650
1989-03-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",563
1989-03-31,"HCE","Clothing and footwear",514
1989-03-31,"HCE","Communication",216
1989-03-31,"HCE","Food and nonalcoholic beverages",1372
1989-03-31,"HCE","Household contents and services",688
1989-03-31,"HCE","Housing and household utilities",2473
1989-03-31,"HCE","Miscellaneous goods and services",872
1989-03-31,"HCE","Recreation and culture",977
1989-03-31,"HCE","Restaurants and hotels",627
1989-03-31,"HCE","Transport",1737
1989-06-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",594
1989-06-30,"HCE","Clothing and footwear",585
1989-06-30,"HCE","Communication",229
1989-06-30,"HCE","Food and nonalcoholic beverages",1472
1989-06-30,"HCE","Household contents and services",726
1989-06-30,"HCE","Housing and household utilities",2505
1989-06-30,"HCE","Miscellaneous goods and services",887
1989-06-30,"HCE","Recreation and culture",1013
1989-06-30,"HCE","Restaurants and hotels",659
1989-06-30,"HCE","Transport",1838
1989-09-30,"HCE","Alcoholic beverages, tobacco and illicit drugs",587
1989-09-30,"HCE","Clothing and footwear",558
1989-09-30,"HCE","Communication",255
1989-09-30,"HCE","Food and nonalcoholic beverages",1422
1989-09-30,"HCE","Household contents and services",692
1989-09-30,"HCE","Housing and household utilities",2550
1989-09-30,"HCE","Miscellaneous goods and services",880
1989-09-30,"HCE","Recreation and culture",966
1989-09-30,"HCE","Restaurants and hotels",648
1989-09-30,"HCE","Transport",1644
1989-12-31,"HCE","Alcoholic beverages, tobacco and illicit drugs",604
1989-12-31,"HCE","Clothing and footwear",550
1989-12-31,"HCE","Communication",273
1989-12-31,"HCE","Food and nonalcoholic beverages",1458
1989-12-31,"HCE","Household contents and services",695
1989-12-31,"HCE","Housing and household utilities",2592
